initial_company_name,original_company_name,parent_company,parent_company_country,industry_naics_3_digit,industry_naics_4_digit,industry_naics_5_digit,revenue_2023_usd
C.I. RECYCLABLES S.A.S.,C.I. Recyclables S.A.S.,C.I. Recyclables S.A.S.,Colombia,562 - Waste Treatment and Disposal,5621 - Waste Treatment and Disposal,562119 - Other Nonhazardous Waste Treatment and Disposal,Not Available
Cabinetworks Group,Cabinetworks Group,Platinum Equity,US,337 - Furniture and Related Product Manufacturing,3371 - Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33711 - Wood Kitchen Cabinet and Countertop Manufacturing,Not Available
Cactus,Cactus,Cactus,Luxembourg,452 - General Merchandise Stores,4529 - Other General Merchandise Stores,452990 - All Other General Merchandise Stores,Not Available
Calero MDSL Limited,Calero MDSL Limited,Calero-MDSL,United Kingdom,"5416 - Professional, Scientific, and Technical Services","541690 - Other Professional, Scientific, and Technical Services","5416900 - Other Professional, Scientific, and Technical Services Not Elsewhere Classified",Not Available
"Call One, Inc.","Call One, Inc.","Call One, Inc.",US,561 - Administrative and Support Services,5613 - Employment Services,561330 - Telephone Answering Services,Not Available
CALORCOL S.A.S.,CALORCOL S.A.S.,CALORCOL S.A.S.,Colombia,3219 - Other Wood Product Manufacturing,321991 - Manufactured Home (Mobile Home) Manufacturing,32199101 - Manufactured Home (Mobile Home) Manufacturing,Not Available
Cameo Global Inc,"Cameo Global, Inc.","New Era Technology, Inc.",US,541 - Computer Systems Design and Related Services,5413 - Computer Systems Design Services,54133 - Computer Systems Design Services,Not Available
Camgian Microsystems Corporation,Camgian Microsystems Corporation,Camgian Microsystems Corporation,US,541 - Computer Systems Design and Related Services,5415 - Computer Systems Design and Related Services,54151 - Computer Systems Design and Related Services,Not Available
Canam Group,Canam Group,Canam Group,Canada,331 - Primary Metal Manufacturing,3312 - Steel Product Manufacturing from Purchased Steel,331212 - Fabricated Structural Metal Manufacturing,Not Available
CANCOM GmbH,CANCOM GmbH,CANCOM SE,Germany,"541 - Professional, Scientific, and Technical Services",5415 - Computer Systems Design and Related Services,541512 - Computer Systems Design Services,"1,500 M"
Capital Valves Ltd,Capital Valves Ltd,MacLean Valves,United Kingdom,3339 - Other General Purpose Machinery Manufacturing,33391 - Pump and Compressor Manufacturing,333911 - Pump and Pumping Equipment Manufacturing,Not Available
Cardinal Glass Industries,Cardinal Glass Industries,Cardinal Glass Industries,US,327 - Nonmetallic Mineral Product Manufacturing,3272 - Glass and Glass Product Manufacturing,32721 - Glass and Glass Product Manufacturing,"1,100 M"
CareWorx,CareWorx,CareWorx Fully Managed,Canada,541 - Engineering Services,"5413 - Architectural, Engineering, and Related Services",54133 - Engineering Services,Not Available
Carl Zeiss Innovationszentrum für Messtechnik,Carl Zeiss Industrielle Messtechnik GmbH,Carl Zeiss AG,Germany,333 - Manufacturing and Reproducing Magnetic and Optical Media,3333 - Manufacturing and Reproducing Magnetic and Optical Media,33331 - Manufacturing and Reproducing Magnetic and Optical Media,Not Available
Carpenter,Carpenter Technology Corporation,Carpenter Technology Corporation,US,331 - Primary Metal Manufacturing,3315 - Foundries,331512 - Steel Investment Foundries,Not Available
Castellni Group,Castellini Group of Companies,Castellini Group of Companies,US,"541 - Professional, Scientific, and Technical Services","5416 - Management, Scientific, and Technical Consulting Services",54161 - Management Consulting Services,"1,500 M"
"CEN Media Holding, LLC",CEN Media Group,CEN Media Group,US,"541 - Professional, Scientific, and Technical Services","5418 - Advertising, Public Relations, and Related Services",541810 - Advertising Agencies,Not Available
CEREN KOCAK,Ceren Koçak,Ceren Koçak,Not Available,Not Available,Not Available,Not Available,Not Available
CHEIL MEXICO SA DE CV,Cheil Mexico SA de CV,Cheil Worldwide,Not Available,5418 - Advertising Agencies,541810 - Advertising Agencies,5418100 - Advertising Agencies,Not Available
"CHEMTROVINA CO.,LTD","Chemtrovina Co., Ltd.","Chemtronics Co., Ltd.",South Korea,325 - Chemical Manufacturing,3251 - Basic Chemical Manufacturing,325110 - Basic Inorganic Chemical Manufacturing,Not Available
Cheonma Industrial Ltd. Co.,"Cheonma Industrial Gas Co., Ltd.","Cheonma Industrial Gas Co., Ltd.",South Korea,325 - Petroleum and Petroleum Products Manufacturing,3251 - Industrial Gas Manufacturing,325119 - Industrial Gas Manufacturing,Not Available
Children's Center of Wayne County,The Children's Center of Wayne County,The Children's Center of Wayne County,US,622 - Health Care Services,6221 - Hospitals and Outpatient Care Facilities,622110 - Hospitals,3.235477 M
"CHONGQING HANON SYSTEMS CO., LTD","Chongqing Hanon Jianshe Automotive Thermal Systems Co., Ltd.",Hanon Systems,South Korea,3363 - Motor Vehicle Parts Manufacturing,336314 - Motor Vehicle Air Conditioning and Heating Equipment Manufacturing,3363141 - Motor Vehicle Air Conditioning and Heating Equipment Manufacturing,Not Available
Church of Jesus,The Church of Jesus Christ of Latter-day Saints,The Church of Jesus Christ of Latter-day Saints,US,813 - Religious Organizations,8131 - Religious Organizations,81311 - Religious Organizations,Not Available
CI INVERMEC S.A,Comercializadora Internacional Invermec S.A.,Comercializadora Internacional Invermec S.A.,Colombia,453 - Retail Trade,4533 - Hardware Stores,45331000 - Hardware Stores,Not Available
City Electrical Factors,Labora Holdings Limited,Labora Holdings Limited,United Kingdom,"423 - Merchant Wholesalers, Durable Goods",4233 - Lumber and Other Construction Materials Merchant Wholesalers,"423330 - Roofing, Siding, and Insulation Material Merchant Wholesalers",Not Available
"CITY MALL GROUP CO., LTD.","City Mall Group Co., Ltd.",The Mall Group,Thailand,451 - Retail Trade,4511 - Department Stores,45111000 - Department Stores,Not Available
City of Tampa,"Corporation to Develop Communities of Tampa, Inc.","Corporation to Develop Communities of Tampa, Inc.",US,622 - Housing Finance,6221 - Housing Finance Companies,62211 - Housing Finance Companies,Not Available
City Property Management Corp.,City Property Management Corp.,City Property Management Corp.,US,531 - Real Estate,5311 - Lessors of Real Estate,531110 - Offices of Real Estate Agents and Brokers,Not Available
Clear Channel Airports_FL33406_6.000%,Clear Channel Airports,"Clear Channel Outdoor Holdings, Inc.",US,54181 - Advertising Agencies,541810 - Advertising Agencies,54181000 - Advertising Agencies,Not Available
Clear Channel Airports_NJ07608_6.625%,Clear Channel Airports,"Clear Channel Outdoor Holdings, Inc.",US,541800 - Advertising Agencies,541810 - Advertising Agencies,54181000X - Advertising Agencies,Not Available
CLIMATE SYSTEMS MEXICANA S.A. de C.,"Climate Systems Mexicana, S.A. de C.V.",Hanon Systems,South Korea,333 - Manufacturing,333314 - HVAC and Refrigeration Equipment Manufacturing,33331401 - HVAC and Refrigeration Equipment Manufacturing,Not Available
CMI Foods,Del Real Foods,Corporación Multi Inversiones (CMI),Guatemala,3119 - Food Manufacturing,311911 - Frozen Specialty Food Manufacturing,311911P - Frozen Specialty Food Manufacturing,Not Available
"Coclisa, S.A. de C.V.","Coclisa, S.A. de C.V.",Hanon Systems,Not Available,3363 - Motor Vehicle Parts Manufacturing,336315 - Motor Vehicle Air Conditioning Manufacturing,336315P - Motor Vehicle Air Conditioning Manufacturing,Not Available
Cofan USA Inc,COFAN USA Inc.,COFAN USA Inc.,US,334 - Computer and Electronic Product Manufacturing,3344 - Semiconductor and Other Electronic Component Manufacturing,334412 - Bare Printed Circuit Board Manufacturing,85.4 M
COMERCIAL PRA CAFE LTDA,COMERCIAL PRA CAFE LTDA,COMERCIAL PRA CAFE LTDA,Brazil,311 - Food Manufacturing,3119 - Other Food Manufacturing,311920 - Coffee and Tea Manufacturing,Not Available
COMERCIALIZADORA INDUCASCOS S.A.S.,COMERCIALIZADORA INDUCASCOS S.A.S.,COMERCIALIZADORA INDUCASCOS S.A.S.,Colombia,Not Available,Not Available,Not Available,Not Available
Command Security Corporation,Command Security Corporation,"Prosegur Compañía de Seguridad, S.A.",Spain,561 - Administrative and Support Services,5616 - Investigation and Security Services,561612 - Security Guards and Patrol Services,Not Available
Compass Health,Compass Health Brands,Compass Health Brands,US,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325212 - Synthetic Rubber Manufacturing,Not Available
compleet GmbH,compleet GmbH,The Riverside Company,US,541 - Software Publishers,5416 - Custom Computer Software,5416110 - Custom Software,Not Available
"Complete Tablet Solutions, Ltd.","Complete Tablet Solutions, Ltd.","CTS Mobility, Ltd.",US,3341 - Computer and Electronic Product Manufacturing,33411 - Electronic Computer Manufacturing,334111 - Personal Computer Manufacturing,Not Available
Computer Security Solutions LLC,Computer Security Solutions LLC,Computer Security Solutions LLC,US,"541 - Professional, Scientific, and Technical Services","5416 - Management, Scientific, and Technical Consulting Services","541614 - Process, Physical Distribution, and Logistics Consulting Services",Not Available
Computop Wirtschaftsinformatik GmbH,Computop Wirtschaftsinformatik GmbH,Computop Wirtschaftsinformatik GmbH,Germany,5416 - Computer Systems Design and Related Services,54161 - Software Publishers,541611 - Custom Computer Programming Services,Not Available
CONA Services LLC,CONA Services LLC,Coca-Cola Bottlers,United States,"541 - Professional, Scientific, and Technical Services",5415 - Computer Systems Design and Related Services,541512 - Computer Systems Design Services,"21,000 M"
CONAD Adriatico,CONAD Adriatico Società Cooperativa,CONAD,Italy,445 - Retail Trade,4451 - Food and Beverage Stores,44511 - Supermarkets and Other Grocery Stores,Not Available
Cónico,Conico Ltd,Conico Ltd,Australia,212 - Mining (except Oil and Gas),2122 - Metal Ore Mining,21229 - Other Metal Ore Mining,Not Available
CONTAINER OPERATORS S A,CONTOPSA Inland Services SpA,APM Terminals Management B.V.,Netherlands,488 - Transportation and Warehousing,4883 - Port and Harbor Operations,48831 - Port and Harbor Operations,Not Available
CONTINENTAL FOODS SWEDEN AB,Continental Foods Sweden AB,Campbell Soup Company,US,311 - Food Manufacturing,3118 - Bakeries and Tortilla Manufacturing,311812 - Commercial Bakeries,Not Available
Convoy,"Convoy, Inc.",Flexport Freight Tech LLC,US,484 - Truck Transportation,4841 - General Freight Trucking,"484110 - General Freight Trucking, Local",Not Available
Co-operative Group Limited,The Co-operative Group Limited,The Co-operative Group Limited,United Kingdom,445 - Retail Trade,4451 - Grocery Stores,445110 - Grocery Stores,Not Available
"COPPERWIRE SYSTEMS, INC","Copperwire Systems, Inc.","Copperwire Systems, Inc.",US,541 - Software Publishers,5416 - Custom Computer Programming Services,541611 - Custom Computer Programming Services,Not Available
Crane NXT,Crane Payment Innovations,"Crane Holdings, Co.",US,333 - Manufacturing,3333 - Industrial Machinery Manufacturing,33331401 - Payment and Merchandising Technologies,Not Available
Nkmz,Novokramatorsky Mashinostroitelny Zavod (NKMZ),"Private Joint Stock Company ""Novokramatorsky Mashinostroitelny Zavod""",Ukraine,333 - Manufacturing,3333 - Fabricated Metal Product Manufacturing,333314 - Forging and Stamping,Not Available
Noble Piastic,Noble Plastics,Cascade Engineering,US,332 - Fabricated Metal Product Manufacturing,3323 - Architectural and Structural Metals Manufacturing,332314 - Custom Plastics and Rubber Products Manufacturing,Not Available
Nomad Solutions,Nomad Solutions,NexTech Solutions,US,541 - Engineering Services,"5413 - Architectural, Engineering, and Related Services",54133 - Engineering Services,Not Available
Nordic Chemical Solutions,Nordic Chemical Solutions AS,Ncs Gruppen AS,NO,325 - Chemical Manufacturing,325998 - All Other Miscellaneous Chemical Product and Preparation Manufacturing,32599801 - All Other Miscellaneous Chemical Product and Preparation Manufacturing,Not Available
Nortel Engineering,"Northern Electric Company, Limited",BCE Inc.,Canada,334 - Computer and Electronic Product Manufacturing,3342 - Communications Equipment Manufacturing,334210 - Telephone Apparatus Manufacturing,Not Available
North Air. C/O Airbus UK,North Air,North Air,United Kingdom,488 - Support Activities for Transportation,4881 - Support Activities for Air Transportation,48811 - Airport Operations,Not Available
Northpoint Inc,Northpoint Consulting Inc.,Northpoint Consulting Inc.,Barbados,"541 - Professional, Scientific, and Technical Services","5413 - Architectural, Engineering, and Related Services",54133 - Engineering Services,Not Available
Norwex USA Inc.,"Norwex USA, Inc.",Norwex,Norway,325 - Chemical Manufacturing,"325998 - Soap, Cleaning Compound, and Toilet Preparation Manufacturing","32599810 - Soap, Cleaning Compound, and Toilet Preparation Manufacturing",Not Available
Nosse Datentechnik GmbH & Co. KG,Nösse Datentechnik GmbH & Co. KG,Nösse Datentechnik GmbH & Co. KG,Germany,811 - Repair and Maintenance,8112 - Electronic and Precision Equipment Repair and Maintenance,811212 - Computer and Office Machine Repair and Maintenance,Not Available
NRG Energy,"NRG Energy, Inc.","NRG Energy, Inc.",US,"2211 - Electric Power Generation, Transmission and Distribution",2211 - Electric Power Generation,22111 - Electric Power Generation,"12,550 M"
NTN,NTN Corporation,NTN Corporation,Japan,332 - Fabricated Metal Product Manufacturing,"3327 - Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",33271 - Machine Shops,Not Available
NUHDEM PLASTK SAN. VE TC.A..,Nuhdem Plastik Insaat Sanayi Ve Ticaret Ltd Sti,Nuhdem Plastik Insaat Sanayi Ve Ticaret Ltd Sti,Turkey,325 - Chemical Manufacturing,325211 - Plastics Material and Resin Manufacturing,32521100 - Plastics Material and Resin Manufacturing,Not Available
ODABASI DAYANIKLI TKETM MALLARI TCARET VE SANAY LTD.T,Odabasi Dayanikli Tuketim Mallari Tic. Ve San. Ltd. Sti.,Odabasi Dayanikli Tuketim Mallari Tic. Ve San. Ltd. Sti.,Turkey,443 - Retail Trade,4431 - Electronics and Appliance Stores,44311 - Electronics Stores,Not Available
ODI Incorporated,"Old Dominion Insulation, Inc.","Old Dominion Insulation, Inc.",US,238 - Specialty Trade Contractors,238910 - Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,238910 - Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Not Available
Oetker Group,Dr. Oetker,Dr. August Oetker KG,Germany,3119 - Food Manufacturing,311812 - Frozen Specialty Food Manufacturing,3118121 - Frozen Pizza Manufacturing,Not Available
Ohki Healthcare Holdings,"OHKI HEALTHCARE HOLDINGS CO., LTD.","OHKI HEALTHCARE HOLDINGS CO., LTD.",Japan,325 - Chemical Manufacturing,3254 - Pharmaceutical and Medicine Manufacturing,325410 - Pharmaceutical and Medicine Manufacturing,Not Available
OMNITECH WIRELESS APPS SA,OMNITECH WIRELESS APPLICATIONS S.A.,OMNITECH WIRELESS APPLICATIONS S.A.,Greece,517 - Telecommunications,5172 - Telecommunications Resellers,51721 - Telecommunications Resellers,Not Available
"One Alliance Insurance Agency, Inc",One Alliance Insurance Corporation,One Alliance Insurance Group,Puerto Rico,524 - Insurance Carriers,"5242 - Direct Insurance (except Life, Health, and Mortgage)",52421 - Direct Property and Casualty Insurance Carriers,Not Available
"Onward Medical, Inc.",ONWARD Medical N.V.,Ottobock SE & Co. KGaA,Netherlands,3345 - Medical Equipment and Supplies Manufacturing,334512 - Surgical and Medical Instrument Manufacturing,3345121 - Surgical Instrument Manufacturing,Not Available
OOO Dymov Sausage Works,OOO Dymov Sausage Works,OOO Dymov Sausage Works,Russia,311 - Food Manufacturing,3119 - Other Food Manufacturing,311911 - Animal (except Poultry) Slaughtering,Not Available
Opel Poland,Opel Poland Sp. z o.o.,Stellantis,Not Available,336 - Transportation Equipment Manufacturing,3361 - Motor Vehicle Manufacturing,336111 - Automobile Manufacturing,Not Available
OPERADORES LOGISTICOS DE CARGA,Operadores Logisticos de Carga S.A.S.,Operadores Logisticos de Carga S.A.S.,Colombia,484 - Truck Transportation,4842 - Specialized Freight Trucking,484210 - Used Household and Office Goods Moving,Not Available
Orbit GmbH,Orbit GmbH,Orbit GmbH,Not Available,541 - Computer Systems Design and Related Services,"5413 - Architectural, Engineering, and Related Services",54133 - Engineering Services,Not Available
"ORION INTERNATIONAL EURO CO., LTD","ORION INTERNATIONAL EURO CO., LTD",Orion Corporation,South Korea,3119 - Other Food Manufacturing,3119 - Bakeries and Tortilla Manufacturing,311920 - Retail Bakeries,Not Available
Ovintiv,Encana Corporation,Ovintiv Inc.,US,211 - Oil and Gas Extraction,2111 - Oil and Gas Extraction,211110 - Oil and Gas Extraction,Not Available
"Owens & Minor Medical, Inc","Owens & Minor Medical, Inc.","Owens & Minor, Inc.",US,3252 - Manufacturing of Medical Equipment and Supplies,325212 - Manufacturing of Surgical and Medical Instruments,3252121 - Manufacturing of Surgical Instruments,"7,780 M"
OZ DTM,OZ DTM,OZ S.p.A.,Italy,3363 - Motor Vehicle Parts Manufacturing,336314 - Motor Vehicle Wheel Manufacturing,33631401 - Motor Vehicle Wheel Manufacturing,Not Available
OZDEN DAYANIKLI TUK. MALL. VE MOBL. SAN VE TIC. LTD STI,OZDEN DAYANIKLI TUK. MALL. VE MOBL. SAN VE TIC. LTD STI,OZDEN DAYANIKLI TUK. MALL. VE MOBL. SAN VE TIC. LTD STI,Turkey,337 - Furniture and Related Products Manufacturing,3371 - Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33711 - Custom Architectural Woodwork and Millwork Manufacturing,Not Available
P&G,The Procter & Gamble Company,The Procter & Gamble Company,US,325 - Manufacturing of Chemicals and Allied Products,"3252 - Soap, Cleaning Compound, and Toilet Preparation Manufacturing",32521 - Soap and Other Detergent Manufacturing,Not Available
P.medien GmbH,Medien Union GmbH,Medien Union GmbH,Germany,"511 - Newspaper, Periodical, Book, and Directory Publishers",5111 - Newspaper Publishers,511130 - Newspaper Publishers,Not Available
Pacific Blue Asset Management LTD,Pacific Blue Asset Management LTD,Pacific Investments Group,United Kingdom,"523 - Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239 - Other Financial Investment Activities,52392 - Portfolio Management,Not Available
Pacific Star,Pacific Star International Logistics China,Pacific Star Group,Taiwan,488 - Support Activities for Transportation,4882 - Support Activities for Rail Transportation,488210 - Support Activities for Rail Transportation,Not Available
Packsys,PackSys Global AG,Brückner Group GmbH,Switzerland,333 - Machinery Manufacturing,333314 - Optical Instrument and Lens Manufacturing,33331401 - Optical Instrument and Lens Manufacturing,Not Available
Padre Software Inc.,Padre Software Inc.,Padre Software Inc.,Not Available,334 - Computer and Peripheral Equipment Manufacturing,3345 - Computer Peripheral Equipment Manufacturing,334511 - Computer Peripheral Equipment Manufacturing,Not Available
Paloma Industries,"Paloma Co., Ltd.","Paloma Industries, Ltd.",Japan,333 - Machinery Manufacturing,3334 - HVAC and Commercial Refrigeration Equipment Manufacturing,333414 - Heating Equipment (except Warm Air Furnaces) Manufacturing,Not Available
PANASIA DE,PANASIA DE Handels GmbH,PANASIA DE Handels GmbH,Germany,Not Available,Not Available,Not Available,Not Available
Pantech,Pantech Inc.,Pantech Inc.,South Korea,3342 - Computer and Electronic Product Manufacturing,33421 - Electronic Component Manufacturing,334211 - Electronic Component Manufacturing,Not Available
Pantex,Pantex,"PanTeXas Deterrence, LLC",US,334 - Computer and Electronic Product Manufacturing,"3345 - Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","33451 - Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Not Available
PANTRA VINA COMPANY LIMITED,PANTRA VINA COMPANY LIMITED,PANTRA VINA COMPANY LIMITED,Vietnam,325 - Chemical Manufacturing,"3252 - Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing",325211 - Plastics Material and Resin Manufacturing,Not Available
Paper Excellence,Paper Excellence Group,Paper Excellence Group,Canada,322 - Paper Manufacturing,"3221 - Pulp, Paper, and Paperboard Mills",32211 - Pulp Mills,Not Available
Patrick Industries,"Patrick Industries, Inc.","Patrick Industries, Inc.",US,332 - Fabricated Metal Product Manufacturing,332310 - Metal Stamping (Primary Metal Fabrication),332310 - Metal Stamping (Primary Metal Fabrication),"3,470 M"
"PCMG, Inc","PCMG, Inc.","PCM, Inc.",US,541 - Computer Systems Design and Related Services,5413 - Custom Computer Programming Services,54133 - Custom Computer Programming Services,Not Available
PEARLQUEST TECHNOLOGY FZE,PearlQuest Interactive,PearlQuest Interactive,United Arab Emirates,"5416 - Management, Scientific, and Technical Consulting Services",54161 - Management Consulting Services,541611 - Administrative Management and General Management Consulting Services,Not Available
PEARLS NAAT GIDA TURZM DI TCARET SANAY LMTED RKET,PEARLS NAAT GIDA TURZM DI TCARET SANAY LMTED RKET,PEARLS NAAT GIDA TURZM DI TCARET SANAY LMTED RKET,Turkey,Not Available,Not Available,Not Available,Not Available
PETPACK S.A.S.,Petpack S.A.S.,Petpack S.A.S.,Colombia,325 - Plastics and Rubber Products Manufacturing,325211 - Plastics Product Manufacturing,32521100 - All Other Plastics Product Manufacturing,Not Available
Petra jordanian mobile telecommunication,Petra Jordanian Mobile Telecommunications Company,Orange Jordan,Jordan,517 - Telecommunications,5171 - Wired and Wireless Telecommunications,5171101 - Wired Telecommunications,Not Available
Petrol Group,Petrol Group,"Petrol d.d., Ljubljana",Slovenia,45 - Retail Trade,"4532 - Office Supplies, Stationery, and Gift Stores",453210 - Office Supplies and Stationery Stores,Not Available
Pfeifer & Langen,Pfeifer & Langen IP GmbH,Pfeifer & Langen GmbH & Co KG,Germany,311 - Food Manufacturing,3113 - Sugar and Confectionery Products,31131 - Sugar Manufacturing,Not Available
PFS DE MEXICO SAPI DE CV,"PFS de México, S.A.P.I. de C.V.",Pilgrim's Pride Corporation,US,311 - Food Manufacturing,3116 - Animal Slaughtering and Processing,311611 - Animal (except Poultry) Slaughtering,Not Available
PHINIA,PHINIA Inc.,BorgWarner Inc.,US,3363 - Motor Vehicle Parts Manufacturing,336314 - Fuel and Lubricant Manufacturing,33631401 - Fuel Injection Equipment Manufacturing,Not Available
PHITOTERAPHIA BIOFITOGENIA,Phitoteraphia Biofitogenia Laboratorial Biota Ltda.,Phitoteraphia Biofitogenia Laboratorial Biota Ltda.,Brazil,"424 - Merchant Wholesalers, Durable Goods",4249 - Other Miscellaneous Nondurable Goods Merchant Wholesalers,42491 - Other Miscellaneous Nondurable Goods Merchant Wholesalers,Not Available
"Phoenix IT Consulting, LLC.","Phoenix IT Consulting, LLC.","Phoenix IT Consulting, LLC.",Not Available,Not Available,Not Available,Not Available,Not Available
Picard,Picard Surgelés,Lion Capital LLP,Not Available,311 - Food Manufacturing,3118 - Frozen Specialty Food Manufacturing,3118121 - Frozen Prepared Meals Manufacturing,Not Available
Pioneer Group,Pioneer Group,Pioneer Group,Europe,"541 - Professional, Scientific, and Technical Services","5416 - Management, Scientific, and Technical Consulting Services",54169 - Other Scientific and Technical Consulting Services,Not Available
PiSA Pharmaceuticals,PiSA Pharmaceuticals,Grupo PiSA,Mexico,3254 - Pharmaceutical and Medicine Manufacturing,325412 - Pharmaceutical Preparation Manufacturing,3254120 - Pharmaceutical Preparation Manufacturing,Not Available
Plasman,Build-A-Mold,Build-A-Mold,Canada,336 - Transportation Equipment Manufacturing,3363 - Motor Vehicle Parts Manufacturing,"336311 - Carburetor, Piston, Piston Ring, and Valve Manufacturing",Not Available
Plastic Pipe Systems,Charlotte Pipe and Foundry,Charlotte Pipe and Foundry,US,332 - Fabricated Metal Product Manufacturing,3323 - Fabricated Metal Product Manufacturing,33231 - Fabricated Metal Product Manufacturing,Not Available
Plenus,PGI Foods,PGI Foods,US,3119 - Other Food Manufacturing,311920 - Coffee and Tea Manufacturing,31192010 - Coffee and Tea Manufacturing,19.5 M
PLG,ProductLife Group,ProductLife Group,France,"541 - Professional, Scientific, and Technical Services","5419 - Other Professional, Scientific, and Technical Services","54199 - All Other Professional, Scientific, and Technical Services",Not Available
POLICEJNÍ PREZIDIUM ČESKÉ REPUBLIKY,Policejní prezidium České republiky,Policejní prezidium České republiky,CZ,9221 - Law Enforcement Activities,92211 - Law Enforcement Agencies,922110 - Law Enforcement Agencies,Not Available
PREFABRIK YAPI INSAAT SANAYI VE TIC.A.S.,Prefabrik Yapı İnş. San. ve Tic. A.Ş.,Hekim Holding,Turkey,236 - Construction of Buildings,2362 - Nonresidential Building Construction,236220 - Prefabricated Wood Buildings and Mobile Homes,Not Available
Premium Waters,"Premium Waters, Inc.",Chesterman Company,US,311 - Food Manufacturing,3113 - Sugar and Confectionery Product Manufacturing,311312 - Cane Sugar Refining,200-500 M
Presto Tech Solutions,PrestoTech Solutions,PrestoTech Solutions,US,51 - Information,"5182 - Data Processing, Hosting, and Related Services","518210 - Data Processing, Hosting, and Related Services",6 M
PRG Cinegate,Cinegate GmbH,"Production Resource Group, L.L.C.",US,512 - Motion Picture and Video Production,5121 - Motion Picture and Video Production,512191 - Motion Picture and Video Production,Not Available
Principle Italy Spa,Principle Italy Spa,Principle Global Limited,Not Available,Not Available,Not Available,Not Available,Not Available
Prinsel,Prinsel,Prinsel,Mexico,3399 - Other Miscellaneous Manufacturing,33991 - Jewelry and Silverware Manufacturing,339911 - Jewelry (except Costume) Manufacturing,Not Available
Proservia GmbH,Proservia GmbH,ManpowerGroup,US,"541 - Professional, Scientific, and Technical Services",5415 - Computer Systems Design and Related Services,541511 - Custom Computer Programming Services,Not Available
Prospect Medical,"Prospect Medical Holdings, Inc.","Prospect Medical Holdings, Inc.",US,622 - Hospitals,6221 - General Medical and Surgical Hospitals,622110 - General Medical and Surgical Hospitals,Not Available
PSA Retail italia S.p.A.,PSA Retail Italia S.p.A.,Groupe PSA,France,336 - Transportation Equipment Manufacturing,3361 - Motor Vehicle Manufacturing,336111 - Automobile Manufacturing,Not Available
Psychatrische Klinik Uelzen gGmbH,Psychiatrische Klinik Uelzen gGmbH,Psychiatrische Klinik Uelzen gGmbH,Germany,622 - Hospitals,6221 - General Medical and Surgical Hospitals,6221Z - Not Available,Not Available
PTC Fayat,PTC Fayat,Fayat Group,France,3339 - Construction Machinery Manufacturing,33392 - Construction Machinery Manufacturing,333921 - Construction Machinery Manufacturing,Not Available
Public Power,Public Power,Crius Energy,US,"2211 - Electric Power Generation, Transmission and Distribution",22111 - Electric Power Generation,221110 - Electric Power Generation,Not Available
Publikationen Deutschschweiz AG,Publikationen Deutschschweiz AG,Publikationen Deutschschweiz AG,Switzerland,511 - Publishing Industries: Newspapers,5111 - Publishing and Printing: Newspapers,511130 - Publishing and Printing: Newspapers,Not Available
Q Energy Solutions SE,Q Energy Solutions SE,Hanwha Solutions Corporation,South Korea,221 - Utilities,"2211 - Electric Power Generation, Transmission and Distribution",221110 - Electric Power Generation,Not Available
Qcell,Hanwha Qcells,Hanwha Solutions,South Korea,3359 - Manufacturing of Electrical and Electronic Equipment,335921 - Solar Panel Manufacturing,3359211 - Solar Panel Manufacturing,Not Available
Qorvo,TriQuint Semiconductor and RF Micro Devices (RFMD),"Qorvo, Inc.",US,334 - Computer and Electronic Product Manufacturing,3345 - Semiconductor and Other Electronic Component Manufacturing,3345111 - Semiconductor and Other Discrete Device Manufacturing,Not Available
Quadrant,Quadrant Magnetic,Quadrant Magnetic,United States,332 - Fabricated Metal Product Manufacturing,3323 - Architectural and Structural Metals Manufacturing,33231 - Metal Window and Door Manufacturing,Not Available
Quantum Silicones,Quantum Silicones,CHT Group,United States,325 - Chemical Manufacturing,"3255 - Paint, Coating, and Adhesive Manufacturing",32552 - Adhesive Manufacturing,Not Available
R.E. Michel Company,"R.E. Michel Company, LLC","R.E. Michel Company, LLC",US,"423 - Merchant Wholesalers, Durable Goods",423610 - Air Conditioning and Warm Air Heating Equipment and Supplies Merchant Wholesalers,42361000 - Air Conditioning and Warm Air Heating Equipment and Supplies Merchant Wholesalers,Not Available
RAC Motoring Services,RAC Motoring Services,RAC Limited,United Kingdom,"5416 - Professional, Scientific, and Technical Services",54161 - Administrative and Support Services,541611 - Administrative and Support Services for Buildings,Not Available
Ramaxel,Ramaxel Technology,Ramaxel Technology,China,334 - Computer and Electronic Product Manufacturing,3341 - Electronic Component Manufacturing,33411 - Semiconductor and Other Electronic Component Manufacturing,Not Available
